log;cnt
1;7
1.04576;7
1.09151;7
1.13727;9
1.18303;9
1.22879;9
1.27454;9
1.3203;9
1.36606;9
1.41182;11
1.45757;11
1.50333;11
1.54909;11
1.59485;11
1.6406;11
1.68636;13
1.73212;13
1.77788;13
1.82363;13
1.86939;13
1.91515;13
1.96091;13
2.00666;15
2.05242;15
2.09818;15
2.14394;15
2.18969;15
2.23545;15
2.28121;15
2.32697;17
2.37272;17
2.41848;17
2.46424;17
2.51;17
2.55575;17
2.60151;19
2.64727;19
2.69303;19
2.73878;19
2.78454;19
2.8303;19
2.87606;19
2.92181;21
2.96757;21
3.01333;21
3.05909;21
3.10484;21
3.1506;21
3.19636;23
3.24212;23
3.28787;23
3.33363;23
3.37939;23
3.42515;23
3.4709;23
3.51666;25
3.56242;25
3.60818;25
3.65393;25
3.69969;25
3.74545;25
3.79121;27
3.83696;27
3.88272;27
3.92848;27
3.97424;27
4.01999;27
4.06575;27
4.11151;29
4.15727;29
4.20302;29
4.24878;29
4.29454;29
4.3403;29
4.38605;29
4.43181;31
4.47757;31
4.52333;31
4.56908;31
4.61484;31
4.6606;31
4.70636;33
4.75211;33
4.79787;33
4.84363;33
4.88939;33
4.93514;33
4.9809;33
5.02666;35
5.07242;35
5.11817;35
5.16393;35
5.20969;35
5.25545;35
5.3012;37
5.34696;37
5.39272;37
5.43848;37
5.48423;37
5.52999;37
5.57575;37
5.62151;39
5.66726;39
5.71302;39
5.75878;39
5.80454;39
5.85029;39
5.89605;41
5.94181;41
5.98757;41
6.03332;41
6.07908;41
6.12484;41
6.1706;41
6.21635;43
6.26211;43
6.30787;43
6.35363;43
6.39938;43
6.44514;43
6.4909;43
6.53666;45
6.58241;45
6.62817;45
6.67393;45
6.71969;45
6.76544;45
6.8112;47
6.85696;47
6.90272;47
6.94847;47
6.99423;47
7.03999;47
7.08575;47
7.1315;49
7.17726;49
7.22302;49
7.26878;49
7.31453;49
7.36029;49
7.40605;51
7.45181;51
7.49756;51
7.54332;51
7.58908;51
7.63484;51
7.68059;51
7.72635;53
7.77211;53
7.81787;53
7.86362;53
7.90938;53
7.95514;53
8.0009;53
8.04665;55
8.09241;55
8.13817;55
8.18393;55
8.22968;55
8.27544;55
8.3212;57
8.36696;57
8.41271;57
8.45847;57
8.50423;57
8.54999;57
8.59574;57
8.6415;59
8.68726;59
8.73302;59
8.77877;59
8.82453;59
8.87029;59
8.91605;61
8.9618;61
9.00756;61
9.05332;61
9.09908;61
9.14483;61
9.19059;61
9.23635;63
9.28211;63
9.32786;63
9.37362;63
9.41938;63
9.46514;63
9.51089;65
9.55665;65
9.60241;65
9.64817;65
9.69392;65
9.73968;65
9.78544;65
9.8312;67
9.87695;67
9.92271;67
9.96847;67
10.0142;67
10.06;67
10.1057;67
10.1515;69
10.1973;69
10.243;69
10.2888;69
10.3345;69
10.3803;69
10.426;71
10.4718;71
10.5176;71
10.5633;71
10.6091;71
10.6548;71
10.7006;71
10.7463;73
10.7921;73
10.8379;73
10.8836;73
10.9294;73
10.9751;73
