log;cnt
1;5
1.04576;5
1.09151;5
1.13727;6
1.18303;6
1.22879;6
1.27454;6
1.3203;6
1.36606;7
1.41182;7
1.45757;7
1.50333;7
1.54909;8
1.59485;8
1.6406;8
1.68636;8
1.73212;8
1.77788;9
1.82363;9
1.86939;9
1.91515;9
1.96091;10
2.00666;10
2.05242;10
2.09818;10
2.14394;10
2.18969;11
2.23545;11
2.28121;11
2.32697;11
2.37272;12
2.41848;12
2.46424;12
2.51;12
2.55575;12
2.60151;13
2.64727;13
2.69303;13
2.73878;13
2.78454;13
2.8303;14
2.87606;14
2.92181;14
2.96757;14
3.01333;15
3.05909;15
3.10484;15
3.1506;15
3.19636;15
3.24212;16
3.28787;16
3.33363;16
3.37939;16
3.42515;17
3.4709;17
3.51666;17
3.56242;17
3.60818;17
3.65393;18
3.69969;18
3.74545;18
3.79121;18
3.83696;19
3.88272;19
3.92848;19
3.97424;19
4.01999;19
4.06575;20
4.11151;20
4.15727;20
4.20302;20
4.24878;21
4.29454;21
4.3403;21
4.38605;21
4.43181;21
4.47757;22
4.52333;22
4.56908;22
4.61484;22
4.6606;22
4.70636;23
4.75211;23
4.79787;23
4.84363;23
4.88939;24
4.93514;24
4.9809;24
5.02666;24
5.07242;24
5.11817;25
5.16393;25
5.20969;25
5.25545;25
5.3012;26
5.34696;26
5.39272;26
5.43848;26
5.48423;26
5.52999;27
5.57575;27
5.62151;27
5.66726;27
5.71302;28
5.75878;28
5.80454;28
5.85029;28
5.89605;28
5.94181;29
5.98757;29
6.03332;29
6.07908;29
6.12484;29
6.1706;30
6.21635;30
6.26211;30
6.30787;30
6.35363;31
6.39938;31
6.44514;31
6.4909;31
6.53666;31
6.58241;32
6.62817;32
6.67393;32
6.71969;32
6.76544;33
6.8112;33
6.85696;33
6.90272;33
6.94847;33
6.99423;34
7.03999;34
7.08575;34
7.1315;34
7.17726;35
7.22302;35
7.26878;35
7.31453;35
7.36029;35
7.40605;36
7.45181;36
7.49756;36
7.54332;36
7.58908;36
7.63484;37
7.68059;37
7.72635;37
7.77211;37
7.81787;38
7.86362;38
7.90938;38
7.95514;38
8.0009;38
8.04665;39
8.09241;39
8.13817;39
8.18393;39
8.22968;40
8.27544;40
8.3212;40
8.36696;40
8.41271;40
8.45847;41
8.50423;41
8.54999;41
8.59574;41
8.6415;42
8.68726;42
8.73302;42
8.77877;42
8.82453;42
8.87029;43
8.91605;43
8.9618;43
9.00756;43
9.05332;43
9.09908;44
9.14483;44
9.19059;44
9.23635;44
9.28211;45
9.32786;45
9.37362;45
9.41938;45
9.46514;45
9.51089;46
9.55665;46
9.60241;46
9.64817;46
9.69392;47
9.73968;47
9.78544;47
9.8312;47
9.87695;47
9.92271;48
9.96847;48
10.0142;48
10.06;48
10.1057;49
10.1515;49
10.1973;49
10.243;49
10.2888;49
10.3345;50
10.3803;50
10.426;50
10.4718;50
10.5176;50
10.5633;51
10.6091;51
10.6548;51
10.7006;51
10.7463;52
10.7921;52
10.8379;52
10.8836;52
10.9294;52
10.9751;53
