times;n
1;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
10;10
1;100
35;100
37;100
41;100
41;100
43;100
44;100
44;100
47;100
48;100
49;100
49;100
50;100
53;100
54;100
54;100
56;100
56;100
57;100
57;100
57;100
57;100
58;100
59;100
60;100
64;100
64;100
65;100
67;100
67;100
69;100
71;100
1;1000
39;1000
56;1000
58;1000
70;1000
75;1000
84;1000
85;1000
86;1000
90;1000
93;1000
96;1000
96;1000
99;1000
109;1000
111;1000
113;1000
114;1000
115;1000
119;1000
125;1000
125;1000
128;1000
130;1000
131;1000
138;1000
139;1000
146;1000
146;1000
151;1000
156;1000
174;1000
1;10000
44;10000
59;10000
68;10000
80;10000
87;10000
95;10000
101;10000
102;10000
113;10000
117;10000
120;10000
122;10000
132;10000
132;10000
133;10000
