times;n
41;100
53;200
56;300
52;400
54;500
57;600
58;700
55;800
57;900
57;1000
62;1100
59;1200
58;1300
57;1400
60;1500
55;1600
57;1700
59;1800
59;1900
58;2000
60;2100
60;2200
61;2300
58;2400
62;2500
59;2600
63;2700
55;2800
60;2900
61;3000
57;3100
55;3200
57;3300
59;3400
58;3500
62;3600
59;3700
62;3800
58;3900
64;4000
61;4100
60;4200
61;4300
61;4400
63;4500
58;4600
59;4700
62;4800
61;4900
62;5000
62;5100
61;5200
62;5300
62;5400
57;5500
62;5600
57;5700
62;5800
57;5900
61;6000
62;6100
61;6200
65;6300
64;6400
63;6500
63;6600
63;6700
60;6800
64;6900
64;7000
64;7100
62;7200
61;7300
62;7400
61;7500
64;7600
65;7700
62;7800
64;7900
61;8000
65;8100
62;8200
64;8300
64;8400
64;8500
63;8600
65;8700
66;8800
63;8900
56;9000
65;9100
57;9200
55;9300
62;9400
65;9500
65;9600
62;9700
65;9800
63;9900
66;10000
