times;n
1;10
490;10
1028;10
1519;10
2181;10
2500;10
3124;10
3891;10
4399;10
4923;10
5465;10
6159;10
6355;10
6708;10
7154;10
8793;10
8994;10
9616;10
9768;10
11188;10
11564;10
12176;10
12602;10
12926;10
13394;10
14183;10
15748;10
15988;10
16448;10
17081;10
17360;10
17808;10
1;100
472;100
811;100
1589;100
2080;100
2384;100
3196;100
3904;100
4364;100
4449;100
5508;100
5812;100
6837;100
7271;100
7502;100
8164;100
8388;100
9753;100
9811;100
10143;100
11171;100
12338;100
12844;100
13143;100
13187;100
13744;100
14464;100
14617;100
16421;100
16968;100
18297;100
18646;100
1;1000
502;1000
924;1000
1518;1000
1635;1000
2772;1000
3356;1000
3667;1000
4475;1000
4682;1000
5582;1000
6172;1000
6955;1000
7075;1000
7588;1000
8836;1000
8908;1000
9183;1000
9846;1000
10377;1000
10679;1000
11442;1000
13144;1000
13499;1000
14064;1000
14472;1000
14611;1000
14611;1000
15871;1000
16000;1000
17203;1000
18042;1000
1;10000
528;10000
1012;10000
1653;10000
2211;10000
2794;10000
3360;10000
3789;10000
4536;10000
5034;10000
5055;10000
6113;10000
6148;10000
7358;10000
8275;10000
8834;10000
