times;n
753;100
760;200
801;300
755;400
712;500
782;600
781;700
663;800
755;900
776;1000
792;1100
800;1200
774;1300
716;1400
794;1500
686;1600
641;1700
753;1800
757;1900
773;2000
779;2100
784;2200
801;2300
756;2400
790;2500
791;2600
794;2700
628;2800
809;2900
799;3000
721;3100
640;3200
709;3300
753;3400
697;3500
790;3600
758;3700
819;3800
741;3900
834;4000
793;4100
740;4200
806;4300
810;4400
821;4500
750;4600
693;4700
824;4800
807;4900
805;5000
834;5100
800;5200
816;5300
798;5400
694;5500
814;5600
665;5700
800;5800
664;5900
789;6000
812;6100
774;6200
831;6300
823;6400
824;6500
807;6600
828;6700
746;6800
805;6900
827;7000
834;7100
785;7200
737;7300
775;7400
774;7500
821;7600
829;7700
783;7800
816;7900
749;8000
833;8100
786;8200
820;8300
830;8400
840;8500
811;8600
827;8700
827;8800
809;8900
603;9000
831;9100
669;9200
610;9300
755;9400
835;9500
843;9600
736;9700
837;9800
794;9900
832;10000
