times;n
1;10
157;10
450;10
467;10
622;10
932;10
1010;10
1087;10
1242;10
1397;10
1553;10
1708;10
1863;10
2018;10
2173;10
2328;10
2483;10
2638;10
2793;10
2949;10
3104;10
3259;10
3414;10
3569;10
3724;10
3879;10
4034;10
4189;10
4345;10
4500;10
4655;10
4810;10
1;100
210;100
409;100
467;100
623;100
912;100
932;100
1087;100
1397;100
1417;100
1571;100
1708;100
1863;100
2018;100
2173;100
2328;100
2483;100
2638;100
2793;100
2949;100
3104;100
3259;100
3414;100
3724;100
3865;100
3879;100
4034;100
4189;100
4345;100
4509;100
4810;100
5513;100
2;1000
222;1000
473;1000
551;1000
728;1000
842;1000
953;1000
1399;1000
1450;1000
1539;1000
1553;1000
1708;1000
2019;1000
2189;1000
2272;1000
2563;1000
2798;1000
2894;1000
2960;1000
3104;1000
3106;1000
3501;1000
3694;1000
3879;1000
3949;1000
4190;1000
4364;1000
4500;1000
4810;1000
5069;1000
5216;1000
5300;1000
2;10000
269;10000
498;10000
689;10000
863;10000
1080;10000
1266;10000
1475;10000
1532;10000
1807;10000
1828;10000
2207;10000
2312;10000
2474;10000
2579;10000
2796;10000
