times;n
285;100
301;200
325;300
293;400
329;500
293;600
307;700
303;800
315;900
293;1000
357;1100
307;1200
319;1300
317;1400
327;1500
311;1600
359;1700
317;1800
329;1900
309;2000
327;2100
303;2200
313;2300
315;2400
347;2500
323;2600
351;2700
305;2800
311;2900
327;3000
329;3100
311;3200
315;3300
331;3400
325;3500
347;3600
337;3700
335;3800
321;3900
361;4000
325;4100
347;4200
331;4300
325;4400
349;4500
327;4600
335;4700
331;4800
329;4900
349;5000
339;5100
331;5200
329;5300
341;5400
337;5500
355;5600
321;5700
335;5800
341;5900
343;6000
337;6100
341;6200
357;6300
355;6400
347;6500
345;6600
337;6700
339;6800
365;6900
351;7000
361;7100
353;7200
355;7300
347;7400
347;7500
347;7600
363;7700
349;7800
357;7900
347;8000
367;8100
345;8200
351;8300
353;8400
347;8500
355;8600
367;8700
377;8800
347;8900
333;9000
373;9100
339;9200
329;9300
365;9400
353;9500
371;9600
357;9700
357;9800
355;9900
385;10000
