$n$;Количество итераций;$||x_k - x^*||$;$||x_k - x^*||/||x^*||$;$cond(A)$
50;5;2.35341e-11;1.13591e-13;4.96599
100;10;5.37576e-09;9.2418e-12;4.68949
150;14;5.51422e-09;5.173e-12;3.9532
200;19;8.37756e-09;5.11102e-12;6.54632
250;25;6.81823e-09;2.97866e-12;6.53233
300;36;3.50617e-08;1.16581e-11;30.6785
350;43;8.02322e-09;2.11777e-12;7.17117
400;40;1.0276e-08;2.22066e-12;7.1722
450;43;2.1862e-08;3.96012e-12;12.7788
500;52;1.37308e-08;2.12398e-12;10.3339
550;58;1.52172e-08;2.04061e-12;10.6742
600;63;8.36096e-09;9.84119e-13;9.06166
650;71;1.70795e-08;1.78306e-12;10.0612
700;101;3.14326e-08;2.93649e-12;20.4392
750;90;1.92723e-08;1.62356e-12;10.8003
800;98;1.17183e-08;8.96158e-13;8.71809
850;90;1.35079e-08;9.43275e-13;8.72771
900;104;1.61816e-08;1.03719e-12;9.88895
950;126;4.29385e-08;2.53793e-12;25.5975
1000;117;2.79788e-08;1.53131e-12;18.4503
1500;218;5.96062e-08;1.77622e-12;46.3471
2000;255;5.09392e-08;9.86064e-13;32.9192
2500;486;1.33354e-07;1.84725e-12;74.6496
3000;808;1.89079e-06;1.99257e-11;1199.72
3500;766;3.03317e-07;2.53666e-12;208.696
4000;687;3.8337e-07;2.62426e-12;213.094
4500;761;4.43468e-08;2.54408e-13;25.5659
5000;715;5.45034e-08;2.66971e-13;38.1784
5500;1795;2.14939e-07;9.12583e-13;131.891
6000;1582;1.66324e-07;6.19774e-13;95.166
6500;988;5.89862e-08;1.94936e-13;38.6408
7000;1989;5.68763e-07;1.68189e-12;352.97
7500;1043;9.8861e-08;2.63603e-13;57.7316
8000;1315;9.78494e-08;2.36833e-13;55.2986
8500;1720;3.10803e-07;6.86877e-13;202.06
9000;1355;3.77413e-07;7.65558e-13;217.279
9500;1604;6.43741e-08;1.20407e-13;41.6044
10000;2096;6.1751e-07;1.06948e-12;359.637
50000;10842;3.2358e-06;4.03469e-14;42.2157
100000;13647;9.18923e-06;5.0337861e-13;91.6847
