$n$;$k$;$||x_k - x^*||$;$||x_k - x^*||/||x^*||$
50;1;350;1.6893238
50;2;350;1.6893238
50;3;350;1.6893238
50;4;350;1.6893238
50;5;350;1.6893238
50;6;350;1.6893238
50;7;350;1.6893238
200;1;2.6911253e-12;1.6418155e-15
200;2;5.0907123e-14;3.1057677e-17
200;3;7.2757166e-10;4.4388062e-13
200;4;4.3657348e-09;2.6634697e-12
200;5;9.6005043e-09;5.8571246e-12
200;6;2.101175e-07;1.2818955e-10
200;7;7.1200779e-07;4.3438534e-10
500;1;2.1378644e-12;3.3070052e-16
500;2;1.3758852e-10;2.1283199e-14
500;3;1.5511145e-10;2.3993774e-14
500;4;1.1286594e-08;1.745893e-12
500;5;7.1682729e-08;1.1088409e-11
500;6;5.1001295e-07;7.8892538e-11
500;7;2.3843752e-05;3.6883261e-09
700;1;18519.029;1.7300822
700;2;18520.128;1.7301849
700;3;18520.246;1.7301959
700;4;18520.258;1.730197
700;5;18520.259;1.7301971
700;6;18520.259;1.7301971
700;7;18520.259;1.7301971
1000;1;2.7526625e-13;1.5065655e-17
1000;2;2.2022808e-12;1.2053349e-16
1000;3;1.9544998e-13;1.0697214e-17
1000;4;1.5286082e-12;8.3662575e-17
1000;5;2.2365312e-13;1.2240806e-17
1000;6;2.7053435e-13;1.4806672e-17
1000;7;1.5008134e-12;8.2141332e-17
