$n$;$k$;$||x_k - x^*||$;$||x_k - x^*||/||x^*||$
50;1;1.1313037e-14;5.4603947e-17
50;2;2.1992588e-13;1.0615029e-15
50;3;2.5656896e-12;1.2383658e-14
50;4;6.6657747e-12;3.217329e-14
50;5;3.2664039e-11;1.5765754e-13
50;6;8.137592e-10;3.9277222e-12
50;7;2.7660226e-08;1.3350593e-10
200;1;2.6911253e-14;1.6418155e-17
200;2;5.0907123e-12;3.1057677e-15
200;3;7.2757166e-10;4.4388062e-13
200;4;4.3657348e-09;2.6634697e-12
200;5;9.6005043e-09;5.8571246e-12
200;6;2.101175e-07;1.2818955e-10
200;7;7.1200779e-07;4.3438534e-10
500;1;4.4777165e-13;6.9264597e-17
500;2;4.4484372e-12;6.8811684e-16
500;3;1.1177295e-10;1.7289858e-14
500;4;1.3681149e-10;2.1163003e-14
500;5;7.8870149e-10;1.2200212e-13
500;6;4.0465587e-08;6.2595133e-12
500;7;7.9057343e-08;1.2229169e-11
700;1;8.6404745e-12;8.0720923e-16
700;2;1.8886269e-11;1.7643905e-15
700;3;1.4470039e-10;1.3518181e-14
700;4;3.6646599e-09;3.4235936e-13
700;5;9.8755151e-08;9.2258903e-12
700;6;3.0705422e-07;2.8685577e-11
700;7;1.2341096e-06;1.1529282e-10
1000;1;4.4159121e-11;2.4168821e-15
1000;2;9.3200051e-11;5.1009515e-15
1000;3;2.4706921e-09;1.3522397e-13
1000;4;2.8394588e-08;1.5540701e-12
1000;5;4.1150486e-08;2.2522158e-12
1000;6;5.3486835e-07;2.9273992e-11
1000;7;3.0749321e-05;1.6829475e-09
