$n$;$k$;$||x_k - x^*||$;$||x_k - x^*||/||x^*||$
50;1;620.66667;2.9957341
200;1;3.077259e-12;1.8773898e-15
200;2;6.5632393e-12;4.0041345e-15
200;3;7.351741e-10;4.4851876e-13
200;4;5.7060947e-09;3.4812033e-12
200;5;3.0441031e-09;1.8571619e-12
200;6;8.7128898e-08;5.3156042e-11
200;7;3.4682436e-06;2.1159237e-09
500;1;4.0753115e-12;6.3039903e-16
500;2;1.399273e-10;2.164498e-14
500;3;2.8118161e-11;4.349523e-15
500;4;1.490534e-08;2.3056671e-12
500;5;4.5475126e-08;7.0344255e-12
500;6;5.9077819e-07;9.1385896e-11
500;7;6.4319133e-07;9.9493544e-11
700;1;8766.0294;0.81893881
700;2;8766.5495;0.81898739
700;3;8766.6054;0.81899261
700;4;8766.611;0.81899314
700;5;8766.6116;0.81899319
1000;1;2.8875787e-13;1.5804067e-17
1000;2;1.7224285e-12;9.4270594e-17
1000;3;3.9359211e-13;2.1541772e-17
1000;4;2.6518636e-13;1.451397e-17
1000;5;8.885592e-13;4.8631919e-17
1000;6;2.5306747e-12;1.3850689e-16
1000;7;1.4739075e-12;8.0668738e-17
