$n$;$k$;$||x_k - x^*||$;$||x_k - x^*||/||x^*||$
50;1;1.1312042e-14;5.4599146e-17
50;2;1.7475704e-13;8.434892e-16
50;3;3.2236754e-12;1.5559518e-14
50;4;9.8570736e-12;4.7576539e-14
50;5;4.8712924e-11;2.3511972e-13
50;6;1.2442396e-09;6.005496e-12
50;7;2.2165942e-08;1.0698701e-10
200;1;2.6911253e-14;1.6418155e-17
200;2;5.0907123e-12;3.1057677e-15
200;3;7.2757166e-10;4.4388062e-13
200;4;4.3657348e-09;2.6634697e-12
200;5;9.6005043e-09;5.8571246e-12
200;6;2.101175e-07;1.2818955e-10
200;7;7.1200779e-07;4.3438534e-10
500;1;2.1378644e-12;3.3070052e-16
500;2;1.3758852e-10;2.1283199e-14
500;3;1.5511145e-10;2.3993774e-14
500;4;1.1286594e-08;1.745893e-12
500;5;7.1682729e-08;1.1088409e-11
500;6;5.1001295e-07;7.8892538e-11
500;7;2.3843752e-05;3.6883261e-09
700;1;7.7117196e-12;7.2044322e-16
700;2;2.0815877e-11;1.9446581e-15
700;3;7.9190035e-10;7.3980807e-14
700;4;5.8087492e-09;5.4266417e-13
700;5;3.051832e-09;2.8510784e-13
700;6;6.7222216e-08;6.2800247e-12
700;7;2.7954398e-07;2.6115519e-11
1000;1;1.0679292e-11;5.8449055e-16
1000;2;3.1192343e-10;1.7071946e-14
1000;3;1.8577931e-09;1.0167926e-13
1000;4;2.6921432e-08;1.4734425e-12
1000;5;3.8760058e-08;2.1213848e-12
1000;6;2.705575e-06;1.4807939e-10
1000;7;3.5233515e-05;1.9283729e-09
